l3_name	opportunity_name	l1_name	l2_name	archetype	data_readiness	platform_fit	archetype_conf	tech_total	decision_density	financial_gravity	impact_proximity	confidence_signal	adoption_total	value_density	simulation_viability	value_total	composite	confidence	promotes_to_sim
Quality Standards & Compliance Adherence	Autonomous Quality Compliance Orchestrator for Automotive Quality Lifecycle	Make	Quality Control & In-Process Inspection	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	MEDIUM	N
Maintenance Strategy & Planning	Autonomous Maintenance Optimization Engine for Automotive Manufacturing	Make	Plant Maintenance & Reliability	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Maintenance Parts & Spares Inventory Management	Autonomous MRO Inventory & Supplier Lifecycle Optimizer	Make	Plant Maintenance & Reliability	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Manufacturing Engineering & Process Development	End-to-End Manufacturing Process Optimization Engine for COGS Reduction and On-Time Delivery	Make	Production Support Services	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Strategic Supplier Relationship Management (SRM)	Autonomous SRM Orchestrator for COGS-Driven Supplier Optimization	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
New Product Introduction (NPI) Sourcing	Autonomous NPI Sourcing & Readiness Orchestrator	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Supplier Financial Health Monitoring	Autonomous Supplier Financial Risk & Recovery Engine	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Risk Management in Contracts	Autonomous Contract Risk & Compliance Engine	Procure Source & Buy	Contract & Commercial Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Inventory Management & Accuracy	Autonomous Multi-Echelon Inventory Optimization & Cycle-Count Automation	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Service Parts Logistics Performance & Quality Management	Autonomous Service Parts Logistics Orchestration & Quality Improvement Engine	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Strategic Warehouse Network Planning	Autonomous Strategic Warehouse Network Optimization	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	2	2	2	6	2	3	3	1	9	0	0	0	0.54	HIGH	N
Packaging Cost Management & Optimization	Autonomous Packaging Cost Optimization Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Service Parts Performance Management & Continuous Improvement	Autonomous Service Parts Performance Engine	Service	Service Parts Planning & Management	DETERMINISTIC	2	2	2	6	2	3	2	2	9	0	0	0	0.54	HIGH	N
Claim Adjudication & Processing	Autonomous Claims Adjudication & Processing Engine	Service	Warranty Administration & Claims Management	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Financial Management & Cost Recovery	Autonomous Financial Recovery & Reimbursement Orchestrator	Service	Recall & Field Service Action Management	AGENTIC	2	2	2	6	2	3	2	2	9	0	0	0	0.54	HIGH	N
Service & Upfit Quality Assurance	Autonomous Service Quality Assurance & Corrective Action Orchestration	Service	Ford Pro Fleet Service & Upfit Operations	AGENTIC	2	2	3	7	2	2	2	1	7	0	1	1	0.54	HIGH	N
Claims Adjudication & Payment Processing	Autonomous Claims Adjudication & Payment Orchestration	Service	Extended Service Plans & Maintenance Programs	AGENTIC	2	2	2	6	2	2	2	2	8	0	1	1	0.54	HIGH	N
Transportation Performance & Continuous Improvement	Autonomous Transportation Performance Engine for Multi-Echelon Logistics	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	1	1	1	3	2	2	2	2	8	1	2	3	0.52	HIGH	N
Sustainability & Circularity Planning	Autonomous Sustainability & Circularity Optimizer for Automotive Supply Chain	Plan	Supply Network Design & Planning	DETERMINISTIC	1	1	1	3	2	2	2	2	8	1	2	3	0.52	HIGH	N
Supplier Innovation Management	Autonomous Supplier Innovation & IP Valuation Engine	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	1	2	2	1	6	1	1	2	0.51	HIGH	N
Customer Order Receipt & Validation	Autonomous Order Intake & Validation Orchestrator	Move & Fulfill	Order Management & Fulfillment	AGENTIC	2	2	2	6	1	2	2	0	5	1	2	3	0.51	LOW	N
Supplier Sustainability & Compliance	Autonomous Supplier Sustainability & Compliance Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	2	2	2	6	1	2	2	1	6	1	1	2	0.51	LOW	N
Indirect Supplier Performance & Relationship Management	Autonomous Indirect Supplier Performance Optimization Engine	Procure Source & Buy	Indirect Procurement	AGENTIC	2	2	2	6	1	1	2	2	6	1	1	2	0.51	MEDIUM	N
Risk & Scenario Planning for S&OP	Autonomous S&OP Risk & Scenario Engine with Multi-Echelon Mitigation	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	2	1	2	5	2	2	2	2	8	0	1	1	0.51	HIGH	N
Packaging Exception & Issue Management	Autonomous Packaging Exception & Recovery Engine	Move & Fulfill	Packaging & Returnable Container Management	AGENTIC	2	2	2	6	1	2	2	1	6	1	1	2	0.51	LOW	N
Order Fulfillment Exception & Escalation Management	Autonomous Fulfillment Exception Orchestrator (AFEO)	Move & Fulfill	Order Management & Fulfillment	AGENTIC	2	2	2	6	1	2	2	1	6	1	1	2	0.51	HIGH	N
Supplier In-Plant Quality & Performance Management	Autonomous Supplier In-Plant Quality & Performance Engine	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Sourcing Strategy & Category Management	Autonomous Sourcing Strategy Orchestrator	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
PO Lifecycle Tracking & Monitoring	Autonomous PO Lifecycle Orchestration for Working Capital & COGS Optimization	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Supplier Performance & Relationship Management (Strategic)	Autonomous Strategic Supplier Performance & Continuity Engine	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Purchase Order (PO) Management	Autonomous PO Lifecycle Orchestrator for Automotive PO Management	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Dealer Order Management & Support	Autonomous Dealer Order Optimization & Fulfillment Engine	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Field Service Engineering Support	Autonomous Field Service Excellence Engine	Service	Dealer Technical Support & Service Engineering	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Strategic Capacity Planning	Autonomous Multi-Echelon Capacity Optimization & Allocation engine	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Capacity & Resource Planning	Autonomous Capacity & Resource Orchestrator for Global Automotive Platform Production	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	2	2	2	6	2	3	2	1	8	0	0	0	0.50	HIGH	N
Material Flow & Inventory Management (Internal)	Autonomous Material Flow Orchestrator for Automotive Volume Lean Inventory	Make	Body Shop & Welding	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Workforce Management & Development	Autonomous Workforce Optimization Engine for Automotive Production	Make	Trim Chassis & Final Assembly	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Process Engineering & Continuous Improvement	End-to-End Process Optimization Engine for Production and Fulfillment	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Corrective Maintenance & Breakdown Management	Autonomous Corrective Maintenance Orchestrator for Automotive Lines	Make	Plant Maintenance & Reliability	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Logistics Performance & Supplier Collaboration	Autonomous Logistics Optimization & Supplier Collaboration Engine	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Service Parts Outbound Logistics & Transportation	Autonomous Service Parts Outbound Logistics Optimization Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Expendable Packaging Management	Autonomous Expendable-to-Returnable Packaging Optimization & End-to-End Packaging Lifecycle	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Warranty Parts Management	Autonomous Warranty Parts Reconciliation & Return Orchestration	Service	Warranty Administration & Claims Management	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Service Parts Business Continuity & Risk Management	Autonomous Service Parts Continuity Engine	Service	Service Parts Planning & Management	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	LOW	N
Performance Analysis & Process Improvement	Autonomous Performance Optimization & Recall Resilience Engine	Service	Recall & Field Service Action Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	LOW	N
Software & Feature Supply Chain Integration	End-to-End Software Supply Chain Orchestration for Automotive Platform Solutions	Service	Connected Vehicle Services & OTA Updates	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Extended Service Product Development & Lifecycle Management	Autonomous Lifecycle Alignment Engine for Ford Extended Service Products	Service	Extended Service Plans & Maintenance Programs	AGENTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Fleet Service Network & Capacity Management	Autonomous Fleet Service Network Orchestration & Capacity Optimization	Service	Ford Pro Fleet Service & Upfit Operations	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Performance Analytics & Program Optimization	 Autonomous Performance Optimization Engine for Automotive Supply-Chain & Production	Service	Extended Service Plans & Maintenance Programs	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Capacity Performance Monitoring & Reporting	Autonomous Capacity Orchestration Suite for Automotive Value Chain	Plan	Capacity Planning & Constraint Management	AGENTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Outbound Vehicle Logistics Operations	Autonomous Outbound Vehicle Logistics Orchestrator	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Trade Compliance & International Logistics	Autonomous Trade Compliance & International Logistics Orchestrator	Move & Fulfill	Customs	AGENTIC	2	2	2	6	2	2	2	1	7	0	1	1	0.50	HIGH	N
Service Part Quality & Availability Management	Autonomous Service Part Quality & Availability Engine	Service	Customer Experience & Service Quality	DETERMINISTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Service Process Continuous Improvement	Autonomous Service Process Reengineering Engine for Automotive Service Web	Service	Customer Experience & Service Quality	AGENTIC	2	2	2	6	2	2	2	2	8	0	0	0	0.50	HIGH	N
Environmental Health & Safety (EHS) & Compliance	Autonomous EHS Compliance Orchestration & Incident Management	Make	Paint Operations	AGENTIC	1	1	1	3	2	2	2	2	8	1	1	2	0.48	HIGH	N
Diagnostic Software & Firmware Management	Autonomous Diagnostic Software Lifecycle Optimization	Service	Dealer Technical Support & Service Engineering	AGENTIC	2	2	2	6	1	1	1	1	4	1	2	3	0.47	MEDIUM	N
Primer & Sealer Application	Autonomous Primer/Sealer Application Orchestration for OEM Paint/Coat Conformance	Make	Paint Operations	AGENTIC	2	2	2	6	1	1	1	1	4	1	2	3	0.47	MEDIUM	N
Paint Process Engineering & Optimization	Autonomous Paint Process Optimization Engine (APPOE)	Make	Paint Operations	DETERMINISTIC	2	1	2	5	2	2	2	2	8	0	0	0	0.47	HIGH	N
Supplier Evaluation	Autonomous Supplier Evaluation & Award Engine	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	1	1	1	3	2	3	3	2	10	0	0	0	0.47	HIGH	N
In-Transit Visibility & Exception Management	Autonomous In-Transit Visibility & Exception Orchestration Engine	Move & Fulfill	Outbound Vehicle Logistics & Distribution	AGENTIC	2	1	2	5	2	2	2	1	7	0	1	1	0.47	HIGH	N
Warehouse Performance & Continuous Improvement	Autonomous Warehouse Performance Orchestrator for COGS and Working Capital	Move & Fulfill	Warehouse & Distribution Center Operations	AGENTIC	2	2	2	6	1	2	2	1	6	0	1	1	0.47	HIGH	N
Performance Monitoring & Continuous Improvement	Autonomous Continuous Improvement Engine for Packaging and Plant Performance	Move & Fulfill	Packaging & Returnable Container Management	AGENTIC	2	2	2	6	1	2	2	1	6	0	1	1	0.47	LOW	N
Fraud Prevention & Audit	Autonomous Fraud Detection & Audit Lifecycle Orchestration	Service	Extended Service Plans & Maintenance Programs	AGENTIC	2	1	2	5	2	2	2	2	8	0	0	0	0.47	HIGH	N
Warranty & Goodwill Policy Management	Autonomous Warranty Risk & Goodwill Optimization Engine	Service	Customer Experience & Service Quality	AGENTIC	2	2	2	6	1	2	2	1	6	0	1	1	0.47	HIGH	N
Maintenance & Asset Management	Autonomous Maintenance & Spare Parts Optimization Engine	Make	Trim Chassis & Final Assembly	AGENTIC	2	2	2	6	2	2	2	1	7	0	0	0	0.46	HIGH	N
Supplier Network Strategy & Development	Autonomous Supplier Network Optimization Engine	Plan	Supply Network Design & Planning	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	0	0	0.46	HIGH	N
Continuous Improvement & Process Optimization	Autonomous Continuous Improvement Engine for Automotive MIM: Integrated Stamping, Cycle Time, and New Tech Pilots	Make	Stamping Operations	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	0	0	0.46	HIGH	N
Supplier Diversity & Sustainability	Autonomous Supplier Diversity & Sustainability Optimization	Procure Source & Buy	Supplier Relationship Management	DETERMINISTIC	2	2	2	6	2	2	2	1	7	0	0	0	0.46	HIGH	N
Recall & FSA Determination & Strategy	Autonomous Recall & FSA Strategy Engine	Service	Recall & Field Service Action Management	AGENTIC	2	2	3	7	1	2	2	0	5	0	1	1	0.46	LOW	N
Regulatory & Environmental Compliance Planning	Autonomous Regulatory & Compliance Orchestrator for Automotive Launches	Plan	New Product Launch Planning	AGENTIC	1	1	1	3	1	2	2	1	6	1	1	2	0.41	MEDIUM	N
Supplier Compliance & Ethics	Autonomous Supplier Compliance & Ethics Orchestrator	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	1	1	1	5	0	0	0	0.39	HIGH	N
Logistics Risk Management & Resilience Planning	Autonomous Logistics Resilience Engine for Automotive Supply Network	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	1	1	1	3	2	2	2	1	7	0	0	0	0.36	LOW	N
Digital & Connected Service Experience	Autonomous Connected Service Orchestration Engine	Service	Customer Experience & Service Quality	AGENTIC	1	1	1	3	1	1	1	1	4	1	1	2	0.33	MEDIUM	N
Sustainability & Ethical Sourcing Governance	Autonomous Sustainability Governance Engine for End-to-End Sourcing Transparency	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	1	1	1	3	1	2	2	1	6	0	0	0	0.33	MEDIUM	N
Environmental	Autonomous Environmental Health & Safety Compliance Engine for Automotive VIN/Component Lifecycle	Make	Production Support Services	DETERMINISTIC	1	1	1	3	1	1	1	1	4	1	1	2	0.33	HIGH	N
Emergency Services Integration	Autonomous Emergency Response Orchestrator for Automotive Safety Incidents	Service	Roadside Assistance & Emergency Services	DETERMINISTIC	1	1	1	3	1	1	1	1	4	0	0	0	0.25	MEDIUM	N
Technology & Innovation Scouting	Autonomous Tech Scouting & Partnerships Orchestrator	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	1	0	1	2	1	1	1	1	4	0	0	0	0.22	HIGH	N
